iter	Passed	Remaining
181	621	2792
182	624	2787
183	627	2783
184	630	2778
185	633	2774
186	637	2769
187	640	2765
188	643	2760
189	646	2755
190	649	2752
191	653	2748
192	656	2743
193	659	2738
194	662	2733
195	665	2730
196	668	2726
197	672	2722
198	675	2718
199	678	2713
200	681	2709
201	684	2705
202	687	2700
203	691	2696
204	694	2692
205	697	2688
206	700	2683
207	703	2679
208	706	2675
209	710	2671
210	713	2667
211	716	2662
212	719	2658
213	722	2653
214	725	2649
215	728	2645
216	732	2641
217	735	2637
218	738	2632
219	741	2627
220	744	2623
221	747	2619
222	750	2615
223	753	2611
224	757	2607
225	760	2603
226	763	2599
227	766	2595
228	769	2591
229	772	2587
230	775	2583
231	779	2579
232	782	2575
233	786	2575
234	790	2574
235	794	2571
236	797	2567
237	800	2563
238	803	2559
239	806	2555
240	810	2551
241	813	2547
242	816	2543
243	819	2539
244	822	2535
245	826	2531
246	829	2528
247	833	2526
248	836	2522
249	839	2519
250	842	2515
251	846	2511
252	849	2507
253	852	2502
254	855	2498
255	858	2494
256	861	2491
257	865	2487
258	868	2483
259	871	2479
260	874	2475
261	877	2471
262	880	2467
263	883	2463
264	886	2459
265	889	2454
266	892	2451
267	895	2447
268	899	2443
269	902	2439
270	905	2435
271	908	2431
272	911	2428
273	915	2424
274	918	2420
275	921	2416
276	924	2412
277	927	2408
278	930	2404
279	933	2401
280	937	2397
281	940	2393
282	943	2390
283	946	2386
284	949	2383
285	953	2379
286	956	2376
287	959	2372
288	962	2368
289	965	2364
290	968	2360
291	971	2356
292	975	2352
293	978	2349
294	981	2346
295	985	2343
296	988	2340
297	992	2337
298	995	2334
299	998	2330
300	1001	2326
301	1005	2323
302	1008	2319
303	1011	2316
304	1014	2312
305	1017	2308
306	1021	2305
307	1024	2301
308	1027	2297
309	1030	2294
310	1033	2290
311	1036	2286
312	1040	2282
313	1043	2279
314	1046	2275
315	1049	2271
316	1052	2268
317	1056	2264
318	1059	2261
319	1062	2257
320	1065	2253
321	1068	2250
322	1071	2246
323	1075	2243
324	1078	2239
325	1081	2235
326	1084	2232
327	1087	2228
328	1091	2225
329	1094	2221
330	1097	2217
331	1100	2214
332	1103	2210
333	1107	2207
334	1110	2203
335	1113	2200
336	1116	2197
337	1119	2193
338	1122	2189
339	1125	2185
340	1129	2182
341	1132	2178
342	1135	2175
343	1138	2171
344	1141	2167
345	1145	2164
346	1148	2160
347	1151	2157
348	1154	2154
349	1157	2150
350	1161	2146
351	1164	2143
352	1167	2140
353	1170	2136
354	1173	2132
355	1176	2128
356	1180	2125
357	1183	2122
358	1186	2118
359	1189	2115
360	1193	2111
361	1196	2108
362	1199	2104
363	1202	2100
364	1205	2097
365	1208	2093
366	1211	2089
367	1215	2086
368	1218	2083
369	1221	2080
370	1224	2076
371	1227	2072
372	1231	2069
373	1234	2065
374	1237	2062
375	1240	2058
376	1243	2055
377	1247	2052
378	1250	2048
379	1253	2045
380	1256	2041
381	1259	2038
382	1263	2034
383	1266	2031
384	1269	2027
385	1272	2024
386	1275	2020
387	1279	2017
388	1282	2014
389	1285	2010
390	1288	2007
391	1292	2004
392	1295	2000
393	1298	1997
394	1301	1993
395	1305	1990
396	1308	1986
397	1311	1983
398	1314	1980
399	1317	1976
400	1321	1973
401	1324	1969
402	1327	1966
403	1330	1962
404	1333	1959
405	1336	1955
406	1339	1952
407	1343	1948
408	1346	1945
409	1350	1942
410	1353	1939
411	1356	1936
412	1359	1932
413	1362	1929
414	1366	1925
415	1369	1922
416	1372	1918
417	1375	1915
418	1379	1912
419	1382	1908
420	1385	1905
421	1388	1902
422	1392	1898
423	1395	1895
424	1398	1892
425	1401	1888
426	1404	1885
427	1408	1881
428	1411	1878
429	1414	1875
430	1417	1871
431	1420	1868
432	1424	1864
433	1427	1861
434	1430	1857
435	1433	1854
